event_type,vehicle_id,poi_id,h3_cell,ts_event,ts_arrive,ts_depart,dwell_seconds,lat,lon,event_id
DWELL,v10,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:17:08,2025-01-01T08:13:08,2025-01-01T08:17:08,241,25.75637387194089,-80.37654186932137,24
ARRIVE,v04,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:17:21,2025-01-01T08:17:21,,240,25.75717885710533,-80.37350664430589,25
ARRIVE,v06,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:18:41,2025-01-01T08:18:41,,241,25.75637387194089,-80.37654186932137,26
DEPART,v03,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:20:04,,2025-01-01T08:20:04,241,25.75637387194089,-80.37654186932137,27
DWELL,v03,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:20:04,2025-01-01T08:16:04,2025-01-01T08:20:04,241,25.75637387194089,-80.37654186932137,28
DEPART,v01,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:20:26,,2025-01-01T08:20:26,240,25.75717885710533,-80.37350664430589,29
DWELL,v01,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:20:26,2025-01-01T08:16:27,2025-01-01T08:20:26,240,25.75717885710533,-80.37350664430589,30
DEPART,v07,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:20:35,,2025-01-01T08:20:35,240,25.75717885710533,-80.37350664430589,31
DWELL,v07,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:20:35,2025-01-01T08:16:36,2025-01-01T08:20:35,240,25.75717885710533,-80.37350664430589,32
ARRIVE,v02,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:21:17,2025-01-01T08:21:17,,240,25.75637387194089,-80.37654186932137,33
DEPART,v04,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:21:20,,2025-01-01T08:21:20,240,25.75717885710533,-80.37350664430589,34
DWELL,v04,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:21:20,2025-01-01T08:17:21,2025-01-01T08:21:20,240,25.75717885710533,-80.37350664430589,35
ARRIVE,v10,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:21:21,2025-01-01T08:21:21,,240,25.75717885710533,-80.37350664430589,36
ARRIVE,v09,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:21:58,2025-01-01T08:21:58,,241,25.75637387194089,-80.37654186932137,37
DEPART,v06,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:22:41,,2025-01-01T08:22:41,241,25.75637387194089,-80.37654186932137,38
DWELL,v06,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:22:41,2025-01-01T08:18:41,2025-01-01T08:22:41,241,25.75637387194089,-80.37654186932137,39
ARRIVE,v05,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:23:37,2025-01-01T08:23:37,,240,25.75637387194089,-80.37654186932137,40
ARRIVE,v08,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:23:47,2025-01-01T08:23:47,,240,25.75637387194089,-80.37654186932137,41
ARRIVE,v03,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:24:17,2025-01-01T08:24:17,,240,25.75717885710533,-80.37350664430589,42
DEPART,v02,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:25:16,,2025-01-01T08:25:16,240,25.75637387194089,-80.37654186932137,43
DWELL,v02,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:25:16,2025-01-01T08:21:17,2025-01-01T08:25:16,240,25.75637387194089,-80.37654186932137,44
DEPART,v10,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:25:20,,2025-01-01T08:25:20,240,25.75717885710533,-80.37350664430589,45
DWELL,v10,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:25:20,2025-01-01T08:21:21,2025-01-01T08:25:20,240,25.75717885710533,-80.37350664430589,46
DEPART,v09,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:25:58,,2025-01-01T08:25:58,241,25.75637387194089,-80.37654186932137,47
DWELL,v09,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:25:58,2025-01-01T08:21:58,2025-01-01T08:25:58,241,25.75637387194089,-80.37654186932137,48
ARRIVE,v06,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:26:54,2025-01-01T08:26:54,,240,25.75717885710533,-80.37350664430589,49
DEPART,v05,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:27:36,,2025-01-01T08:27:36,240,25.75637387194089,-80.37654186932137,50
DWELL,v05,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:27:36,2025-01-01T08:23:37,2025-01-01T08:27:36,240,25.75637387194089,-80.37654186932137,51
DEPART,v08,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:27:46,,2025-01-01T08:27:46,240,25.75637387194089,-80.37654186932137,52
DWELL,v08,FIU Graham Center,8944a1bb477ffff,2025-01-01 08:27:46,2025-01-01T08:23:47,2025-01-01T08:27:46,240,25.75637387194089,-80.37654186932137,53
DEPART,v03,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:28:16,,2025-01-01T08:28:16,240,25.75717885710533,-80.37350664430589,54
DWELL,v03,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:28:16,2025-01-01T08:24:17,2025-01-01T08:28:16,240,25.75717885710533,-80.37350664430589,55
ARRIVE,v09,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:30:11,2025-01-01T08:30:11,,240,25.75717885710533,-80.37350664430589,56
DEPART,v06,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:30:53,,2025-01-01T08:30:53,240,25.75717885710533,-80.37350664430589,57
DWELL,v06,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:30:53,2025-01-01T08:26:54,2025-01-01T08:30:53,240,25.75717885710533,-80.37350664430589,58
DEPART,v09,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:34:10,,2025-01-01T08:34:10,240,25.75717885710533,-80.37350664430589,59
DWELL,v09,FIU Graham Center,8944a1bb463ffff,2025-01-01 08:34:10,2025-01-01T08:30:11,2025-01-01T08:34:10,240,25.75717885710533,-80.37350664430589,60
